Organizations,Organization Type,College/Unit/Center_Inst.,College/Unit/Center_Inst. Type,Departments,Division,Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Peer Coaching,Multi Center Imp,MAHA,CPP Feas.,CPP Comp,WH Levy Cancer,CPP Medicaid,Inp Onc Acu,Clim NNE,Clim Rur,VT Poll,PH Careg,CPP Iso,CPP SGB,PH Res,Walk w/ease,ECC All,Ticks,WPHI First yr,Img Tissue,WPHI UVMH,DNP Forest,Psychadelic,OUD Osher ,CLEAR Osher,Int Osher,Readiness Osher,Farm Shares,Comm Health Wrk,MultiStakeholer Ana.
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
UVM,University ,Osher Center,Center; Institute,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x
UVM,University ,Osher Center,Center; Institute,Employee Welness (UVM),,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
UVM,University ,CHWB,Unit,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
UVM,University ,DOIE,Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,Gund,Center; Institute,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
UVM,University ,Complex Systems,Center; Institute,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,CNHS,College,RMS,Health Coaching ,x,,x,,,,,,x,x,x,x,,,x,x,x,x,,,,x,,,,x,x,,,
UVM,University ,CNHS,College,Nursing ,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
UVM,University ,CNHS,College,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,CALS,College,Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,CALS,College,CDAE,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
UVM,University ,CALS,College,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
UVM,University ,CASS,College,Psychology,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
UVM,University ,RSENR,College,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
UVM,University ,LCOM,College,Psychiatry (academic),,,x,x,x,,,,,,,,,,,x,,x,,,,,,,x,,,,,,
UVM,University ,LCOM,College,Family Medicine (academic),,,x,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,
UVM,University ,LCOM,College,Anastesiology (academic),,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
UVM,University ,LCOM,College,Medicine (academic),,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,
UVM,University ,LCOM,College,Emergency Med (academic),,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
UVM,University ,LCOM,College,Childrens Hospital (academic) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,LCOM,College,OBGYN (academic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,LCOM,College,Cancer Center (academic),,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,CESS,College,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
UVM,University ,GSB,College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,CEMS,College,BioMedical/Mechanical Eng,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
UVM,University ,HCOL,College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVM,University ,PACE,College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,PHSO,Department,UVMCares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,HR,Department,Employee Wellness,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
UVMH,Healthcare Organization,DEI,Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,,,Nutrtion/Culinary Medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Psychiatry (clinical),Osher WH Division,,x,x,x,x,x,x,,,,,,x,x,,,,,,,x,,,,,,,x,,x
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Family Medicine (clinical),,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Anastesiology (clinical),,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Medicine (clinical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Emergency Med (clinical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Childrens Hospital (clinical) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,OBGYN (clinical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Cancer Center (clinical),,,,,,,x,,x,,,,,,,,,,,,,x,,,,,,,x,,
Dartmouth ,University ,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Dartmouth ,University ,NNE Coop,Practice Based Research Network ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Health ,Healthcare Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT DOH,Government Agency,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Osher Collaborative,Professional Association,Wisconsin,Center; Institute,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osher Collaborative,Professional Association,Harvard,Center; Institute,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIMH,Professional Association,WHITS,Professional Association ,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
WPH Coalition ,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLM,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIO,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inst. for Behavior Change,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHVA,Government Agency,Medicaid,Government Agency,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
BCBSVT,Health Insurance Organization ,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
PCORI,Funding Agency ,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
NCCIH,Government Agency,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Government Agency,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCUHS,University ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
